Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1295    0.006    0.000    0.028    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4150(_get_op_def)
     1850    0.006    0.000    0.012    0.000 C:\Python_3.7.6\lib\functools.py:37(update_wrapper)
     2537    0.006    0.000    0.019    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\lock_util.py:95(release)
      295    0.006    0.000    0.014    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:1506(_initialize_function_spec)
      294    0.006    0.000    0.030    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:66(normalize_element)
      511    0.006    0.000    0.016    0.000 C:\Python_3.7.6\lib\inspect.py:2117(_signature_from_function)
     2097    0.006    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4130(_get_tensor_by_tf_output)
     5798    0.006    0.000    0.006    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteBuffer}
      295    0.006    0.000    0.124    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:575(__init__)
      294    0.006    0.000    2.295    0.008 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\structured_function.py:86(__init__)
     6102    0.006    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:2949(_flatten_modules)
     1936    0.006    0.000    0.006    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_AddInput}
      196    0.006    0.000    0.010    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\generic_utils.py:867(update)
3341/1707    0.006    0.000    0.049    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:2858(__setattr__)
    33673    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      171    0.006    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\lib\io\file_io.py:102(read)
      987    0.006    0.000    0.006    0.000 {built-in method numpy.array}
      296    0.006    0.000    0.017    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\impl\conversion.py:112(is_allowlisted)
     7068    0.006    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:260(_yield_sorted_items)
     2537    0.005    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\lock_util.py:85(acquire)
     2537    0.005    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4738(_apply_device_functions)
     7179    0.005    0.000    0.016    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\registry.py:81(lookup)
      592    0.005    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function_spec.py:149(__init__)
     2437    0.005    0.000    0.005    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOutputType}
